Barrio;homicidos;robos y hurtos;robos y hurtos de automotor
Constitución;4;445.24;34.24
Monserrat;1;302.75;15.92
Puerto Madero;2;194.81;2.59
Retiro;5;203.27;2.43
San Nicolás;1;564.29;6.11
San Telmo;1;372.31;32.47
Recoleta;1;276.36;11.76
Balvanera;13;384.89;28.55
San Cristobal;0;299.99;38.17
Barracas;16;239.16;21.24
Boca;2;240.82;14.33
Nueva Pompeya;4;637.87;29.57
Parque Patricios;2;289.87;27.78
Almagro;3;241.07;54.07
Boedo;1;265.76;41.77
Caballito;3;202.78;32.70
Flores;16;246.63;25.83
Parque Chacabuco;0;297.06;25.83
Villa Lugano;7;199.25;37.24
Villa Riachuelo;1;232.84;11.71
Villa Soldati;0;331.82;16.15
Liniers;1;267.63;26.97
Mataderos;0;297.32;29.07
Parque Avellaneda;1;248.18;27.88
Floresta;0;265.50;31.89
Monte Castro;0;208.87;28.16
Velez Sarsfield;0;204.77;32.49
Versalles;0;224.07;15.67
Villa Luro;1;199.11;24.16
Villa Real;0;231.40;21.97
Villa del Parque;1;267.96;17.65
Villa Devoto;0;234.60;15.69
Villa General Mitre;0;97.81;24.51
Villa Santa Rita;0;190.51;27.39
Coghlan;0;191.87;16.41
Saavedra;1;267.25;15
Villa Pueyrredón;1;172.98;19.71
Villa Urquiza;1;173.12;17.07
Belgrano;1;213.65;9.20
Colegiales;1;214.81;13.54
Nuñez;2;250.34;14.94
Palermo;3;322.84;15.91
Agronomía;0;183.91;7.07
Chacarita;0;387.22;12.19
Parque Chas;1;166.42;20.22
Paternal;2;210.25;14.35
Villa Crespo;1;266.22;35.15
Villa Ortuzar;1;186.50;15.64
